city,sunshine,pollution,work,activities,places,bottle,membership
Amsterdam,1858,30.93,1434,422,1048,1.92,34.9
Sydney,2636,26.86,1712,406,1103,1.48,41.66
Vienna,1884,17.33,1501,132,1008,1.94,25.74
Stockholm,1821,19.63,1452,129,598,1.72,37.31
Copenhagen,1630,21.24,1380,154,523,2.19,32.53
Helsinki,1662,13.08,1540,113,309,1.6,35.23
Fukuoka,2769,0,1644,35,539,0.78,55.87
Berlin,1626,39.41,1386,254,1729,1.55,26.11
Barcelona,2591,65.19,1686,585,2344,1.19,37.8
Vancouver,1938,24.26,1670,218,788,1.08,31.04
Melbourne,2363,25.9,1712,243,813,1.57,36.89
Beijing,2671,85.43,0,223,261,0.26,38.62
Bangkok,2624,76.64,0,377,1796,0.22,50.03
Buenos Aires,2525,52.64,0,246,1435,0.57,22.45
Toronto,2066,37.83,1670,174,1656,1.09,32.64
Madrid,2769,52.68,1686,216,2491,1.3,34.54
Jakarta,2983,84.39,0,114,833,0.21,29.94
Seoul,2066,57.82,1967,144,389,0.59,43.03
Frankfurt,1662,37.78,1386,23,551,1.95,39.01
Geneva,0,27.25,1557,44,444,2.62,70
Tel Aviv,3311,47.28,1898,139,420,1.63,58.31
Istanbul,2218,69.49,1832,419,934,0.15,16.97
Cairo,3542,91.74,0,323,250,1.92,34.9
Taipei,1405,49.32,0,134,717,1.48,41.66
Los Angeles,3254,66.07,1779,223,1439,1.94,25.74
Mumbai,2584,82.84,0,187,1183,1.72,37.31
Boston,2634,27.03,1779,88,588,2.19,32.53
Dublin,1453,40.07,1772,159,659,1.6,35.23
Tokyo,1877,42.84,1644,387,5802,0.78,55.87
Chicago,2508,43.33,1779,171,1320,1.55,26.11
Hong Kong,1836,67.46,0,277,1257,1.19,37.8
Shanghai,1776,77.4,0,108,346,1.08,31.04
Brussels,1546,62.67,1583,55,988,1.57,36.89
San Francisco,3062,47.36,1779,242,1031,0.26,38.62
Paris,1662,65.1,1505,331,4363,0.22,50.03
Sao Paulo,2003,79.78,0,158,3355,0.57,22.45
Zurich,1566,17.31,1557,69,538,1.09,32.64
London,1633,58.91,1538,433,6417,1.3,34.54
Johannesburg,3124,61.83,0,194,492,0.21,29.94
Milan,1915,67.19,1718,110,2396,0.59,43.03
Washington D.C.,2528,39.18,1779,83,744,1.95,39.01
New York,2535,57.36,1779,359,3081,2.62,70
Moscow,1901,57.63,1965,322,3206,1.63,58.31
Mexico City,2555,82.78,2137,192,1313,0.15,16.97
